Episode,Spotlight,Tips & Tricks
<a href='https://destinationlinux.org/episode-116'>DL116</a>,<a href="http://gohugo.io/" target="_blank" rel="nooopener">Hugo</a> (Site Generator),<a href="https://gnunn1.github.io/tilix-web/" target="_blank" rel="nooopener">Tilix</a> | <a href="https://github.com/realh/roxterm" target="_blank" rel="nooopener">Roxterm</a> | <a href="https://kde.org/applications/system/yakuake/" target="_blank" rel="nooopener">Yakuake</a> (terminal apps)
<a href='https://destinationlinux.org/episode-115'>DL115</a>,<a href="https://natrongithub.github.io/" target="_blank" rel="nooopener">Natron</a> (motion graphics editor),<a href="http://gnu.org/software/ddrescue/" target="_blank" rel="nooopener">DDRescue</a> (data recovery tool)
<a href='https://destinationlinux.org/episode-114'>DL114</a>,<a href="http://github.com/phw/peek" target="_blank" rel="nooopener">Peek</a>,xkill
<a href='https://destinationlinux.org/episode-113'>DL113</a>,<a href="http://hardinfo.org/" target="_blank" rel="nooopener">HardInfo</a> (System profiler),<a href="https://tkashkin.tk/projects/gamehub/" target="_blank" rel="nooopener">GameHub</a> (games manager)
<a href='https://destinationlinux.org/episode-112'>DL112</a>,<a href="http://hexchat.github.io/" target="_blank" rel="nooopener">Konversation</a> | <a href="http://hexchat.github.io/" target="_blank" rel="nooopener">Hexchat</a> | <a href="https://kiwiirc.com/" target="_blank" rel="nooopener">KiwiIRC</a> | <a href="http://weechat.org/" target="_blank" rel="nooopener">Weechat</a> | <a href="https://quassel-irc.org/" target="_blank" rel="nooopener">Quassel</a> | <a href="https://irssi.org/" target="_blank" rel="nooopener">Irssi</a> (IRC clients),<a href="https://linux.die.net/man/1/zsync" target="_blank" rel="nooopener">Zsync</a>
<a href='https://destinationlinux.org/episode-111'>DL111</a>,<a href="https://github.com/varietywalls/variety" target="_blank" rel="nooopener">Variety</a> | <a href="https://vitux.com/how-to-automatically-change-wallpaper-based-on-time-of-day-in-ubuntu-with-wallch/" target="_blank" rel="nooopener">Wallch</a> (wallpaper changers),<a href="http://wpitchoune.net/psensor" target="_blank" rel="nooopener">Psensor</a> (hardware monitoring)
<a href='https://destinationlinux.org/episode-110'>DL110</a>,<a href="https://github.com/lupoDharkael/flameshot" target="_blank" rel="nooopener">Flameshot</a>,<a href="https://github.com/lm-sensors/lm-sensors" target="_blank" rel="nooopener">lmsensors</a> (hardware monitoring)
<a href='https://destinationlinux.org/episode-109'>DL109</a>,<a href="https://jami.net/" target="_blank" rel="nooopener">Jami Messenger</a>,Getting kernel & Mesa info
<a href='https://destinationlinux.org/episode-108'>DL108</a>,<a href="https://vim-adventures.com/" target="_blank" rel="nooopener">VIM Adventures</a> (vim game tutorial),<a href="http://man7.org/linux/man-pages/man1/head.1.html" target="_blank" rel="nooopener">head</a> & <a href="http://man7.org/linux/man-pages/man1/tail.1.html" target="_blank" rel="nooopener">tail</a> (cli tools)
<a href='https://destinationlinux.org/episode-107'>DL107</a>,<a href="https://code.visualstudio.com/" target="_blank" rel="nooopener">Visual Studio Code</a> (text editor),sudo !! (repeat with sudo)
<a href='https://destinationlinux.org/episode-106'>DL106</a>,<a href="https://www.tecmint.com/mstream-music-streaming-server-for-linux/" target="_blank" rel="nooopener">Mstream</a>,<a href="http://lynx.browser.org/" target="_blank" rel="nooopener">Lynx</a> | <a href="http://w3m.sourceforge.net/" target="_blank" rel="nooopener">W3m</a> | <a href="https://www.brow.sh/" target="_blank" rel="nooopener">Browsh</a> (terminal web browsers)
<a href='https://destinationlinux.org/episode-105'>DL105</a>,<a href="https://github.com/GitSquared/edex-ui" target="_blank" rel="nooopener">eDEX-UI</a>,command-line insults
<a href='https://destinationlinux.org/episode-104'>DL104</a>,<a href="http://multibootusb.org/" target="_blank" rel="nooopener">MultiBoot USB</a>,<a href="https://linux.die.net/man/1/vimtutor" target="_blank" rel="nooopener">vimtutor</a>
<a href='https://destinationlinux.org/episode-103'>DL103</a>,<a href="https://github.com/jeromerobert/pdfarranger" target="_blank" rel="nooopener">PDFArranger</a>,<a href="https://storybundle.com/" target="_blank" rel="nooopener">Story Bundle</a>
<a href='https://destinationlinux.org/episode-102'>DL102</a>,<a href="https://www.torproject.org/index.html.en" target="_blank" rel="nooopener">Tor Browser</a>,<a href="https://github.com/rupa/z" target="_blank" rel="nooopener">z</a> (productivity tool)
<a href='https://destinationlinux.org/episode-101'>DL101</a>,<a href="https://www.bleachbit.org/" target="_blank" rel="nooopener">Bleachbit</a>,Common Terminal Shortcuts
<a href='https://destinationlinux.org/episode-100'>DL100</a>,<a href="Whalebird" target="_blank" rel="nooopener">Whalebird</a>,<a href="https://drmfree.calibre-ebook.com/by/genre/adventure?by=title" target="_blank" rel="nooopener">Calibre Open Book Directory</a>
<a href='https://destinationlinux.org/episode-99'>DL99</a>,<a href="https://www.synfig.org/" target="_blank" rel="nooopener">Synfig</a> (2D Animation Software),<a href="http://man7.org/linux/man-pages/man1/cd.1p.html" target="_blank" rel="nooopener">cd</a> (cli tool)
<a href='https://destinationlinux.org/episode-98'>DL98</a>,<a href="http://www.maartenbaert.be/simplescreenrecorder/" target="_blank" rel="nooopener">SimpleScreenRecorder</a>,<a href="http://guake-project.org/" target="_blank" rel="nooopener">Guake</a> | <a href="https://yakuake.kde.org/" target="_blank" rel="nooopener">Yakuake</a> | <a href="https://github.com/lanoxx/tilda" target="_blank" rel="nooopener">Tilda</a> | <a href="https://gnunn1.github.io/tilix-web/" target="_blank" rel="nooopener">Tilix</a> | <a href="https://github.com/lxqt/qterminal" target="_blank" rel="nooopener">QTerminal</a> (drop down terminals)
<a href='https://destinationlinux.org/episode-97'>DL97</a>,<a href="https://gitlab.gnome.org/GNOME/simple-scan" target="_blank" rel="nooopener">Simplescan</a> | <a href="https://www.kde.org/applications/graphics/skanlite/" target="_blank" rel="nooopener">Skanlite</a> | <a href="https://openpaper.work/" target="_blank" rel="nooopener">Paperwork</a>,<a href="http://man7.org/linux/man-pages/man1/column.1.html" target="_blank" rel="nooopener">column</a> (cli tool)
<a href='https://destinationlinux.org/episode-96'>DL96</a>,<a href="https://joplinapp.org" target="_blank" rel="nooopener">Joplin</a> (notes),<a href="https://www.zsh.org/" target="_blank" rel="nooopener">Zsh</a> | <a href="https://www.tcsh.org/" target="_blank" rel="nooopener">Tcsh</a> | <a href="https://fishshell.com/" target="_blank" rel="nooopener">Fish</a> (alternative shells)
<a href='https://destinationlinux.org/episode-95'>DL95</a>,<a href="https://github.com/adrianlopezroche/fdupes" target="_blank" rel="nooopener">FDUPES</a> (find duplicates),<a href="http://auryo.com/" target="_blank" rel="nooopener">Auryo</a> (SoundCloud client)
<a href='https://destinationlinux.org/episode-94'>DL94</a>,<a href="https://simplenote.com/" target="_blank" rel="nooopener">Simplenote</a>,common Zoom factor shortcuts
<a href='https://destinationlinux.org/episode-93'>DL93</a>,<a href="https://nicolargo.github.io/glances/" target="_blank" rel="nooopener">Glances</a> (system monitoring),Snaps related tips
<a href='https://destinationlinux.org/episode-92'>DL92</a>,<a href="https://remmina.org/" target="_blank" rel="nooopener">Remmina</a> (remote desktop),<a href="https://handbrake.fr/" target="_blank" rel="nooopener">Handbrake</a> (media converter)
<a href='https://destinationlinux.org/episode-91'>DL91</a>,<a href="http://searchmonkey.embeddediq.com/" target="_blank" rel="nooopener">Searchmonkey</a> | <a href="http://man7.org/linux/man-pages/man4/fd.4.html" target="_blank" rel="nooopener">fd</a>,<a href="https://www.semicomplete.com/projects/xdotool/" target="_blank" rel="nooopener">xdotool</a>
<a href='https://destinationlinux.org/episode-90'>DL90</a>,<a href="https://www.clamav.net/" target="_blank" rel="nooopener">ClamAV</a>,xkill
<a href='https://destinationlinux.org/episode-89'>DL89</a>,<a href="https://launchpad.net/grub-customizer" target="_blank" rel="noopener">Grub Customizer</a>,<a href="http://man7.org/linux/man-pages/man1/apropos.1.html" target="_blank" rel="noopener">Apropos</a> (search for commands)
<a href='https://destinationlinux.org/episode-88'>DL88</a>,<a href="https://en.wikipedia.org/wiki/Midnight_Commander" target="_blank" rel="noopener">Midnight Commander</a> (file manager),<a href="http://man7.org/linux/man-pages/man1/find.1.html" target="_blank" rel="noopener">find</a> | <a href="http://man7.org/linux/man-pages/man1/locate.1.html" target="_blank" rel="noopener">locate</a> | <a href="https://docs.xfce.org/apps/catfish/start" target="_blank" rel="noopener">Catfish</a> (file search)
<a href='https://destinationlinux.org/episode-87'>DL87</a>,<a href="http://meldmerge.org/" target="_blank" rel="noopener">Meld</a> | <a href="http://www.caffeinated.me.uk/kompare/" target="_blank" rel="noopener">Kompare</a>,DNF History
<a href='https://destinationlinux.org/episode-86'>DL86</a>,/dev/null,/dev/null
<a href='https://destinationlinux.org/episode-85'>DL85</a>,<a href='http://etcher.io/' target='_blank' rel='noopener'>Etcher</a> ISO to USB,many Xfce tips
<a href='https://destinationlinux.org/episode-84'>DL84</a>,<a href='https://wiki.gnome.org/Apps/Logs' target='_blank' rel='noopener'>GNOME Logs</a> | <a href='https://www.kde.org/applications/system/ksystemlog/' target='_blank' rel='noopener'>KSystemLogs</a> (Log Viewers),<a href='https://ranger.github.io/' target='_blank' rel='noopener'>Ranger</a> (file manager)
<a href='https://destinationlinux.org/episode-83'>DL83</a>,<a href='http://www.gpick.org/' target='_blank' rel='noopener'>GPick</a> | <a href='https://www.kde.org/applications/graphics/kcolorchooser/' target='_blank' rel='noopener'>KColorChooser</a> (Color Pickers),at command utility
<a href='https://destinationlinux.org/episode-82'>DL82</a>,<a href='http://guvcview.sourceforge.net/' target='_blank' rel='noopener'>Guvcview</a> Webcam Tool,Alt Key Window Resizing
